movie_name,word_sum,token_sum
Hudsucker-Proxy-The,9285,8999
Shrek-the-Third,5610,5791
Jurassic-Park,5389,5674
Orphan,13893,14519
Year-One,11082,11652
Amityville-Asylum-The,5648,5818
Henry-Fool,6488,6717
White-Christmas,4011,4079
Verdict-The,7497,7177
Heavenly-Creatures,2770,2724
Moonstruck,5027,5180
Lost-Highway,2441,2305
Hangover-The,14495,14993
Terminator-Salvation,2205,2162
Up,4791,5108
Three-Men-and-a-Baby,18673,18543
I-Robot,5385,5418
Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension-The,4268,4506
2001-A-Space-Odyssey,6672,6872
Happy-Birthday-Wanda-June,6491,6838
Defiance,11023,11556
Anna-Karenina,7029,6673
Grabbers,4508,4750
American-Pie,4998,4970
Ordinary-People,8231,8136
Kundun,3811,4059
Pitch-Black,2367,2377
Pirates-of-the-Caribbean-Dead-Mans-Chest,4222,4324
Happy-Feet,4561,4313
Funny-People,17144,17629
Hesher,4321,4363
Curious-Case-of-Benjamin-Button-The,10450,9419
Oceans-Eleven,6638,6764
Sphere,4258,4288
Cliffhanger,3445,3296
A-Scanner-Darkly,5693,5842
Soldier,2339,2286
Fargo,6478,6571
Tomorrow-Never-Dies,7213,7226
A-Prayer-Before-Dawn,2036,1993
Three-Kings,4896,5096
Time-Machine-The,2132,2096
Batman-2,4188,4130
Blue-Valentine,4616,4545
Repo-Man,4081,4314
Gattaca,4991,5095
Jackie-Brown,11742,12227
Wild-Wild-West,6305,6285
August-Osage-County,10551,10777
Eternal-Sunshine-of-the-Spotless-Mind,9842,10012
Walk-to-Remember-A,3206,3179
Ice-Storm-The,5567,5530
Hitchhikers-Guide-to-the-Galaxy-The,6050,6046
Hes-Just-Not-That-Into-You,6154,6114
Ticker,2844,2846
Burlesque,14416,14787
Queen-The,5448,5511
Mr-Blandings-Builds-His-Dream-House,9909,9838
Fantastic-Four,4146,4060
Jaws,8455,8565
Monkeybone,5423,5456
Relic-The,5532,5912
Passengers,11477,11996
Scream-3,3713,3946
White-Jazz,7187,7617
Death-to-Smoochy,8004,8233
To-Sleep-with-Anger,6116,6253
Tamara-Drewe,5277,5571
All-the-Presidents-Men,9470,9678
Box-The,7615,7568
Interview-with-the-Vampire,8182,8302
Ni-vu-ni-connu,6205,6903
Cable-Guy,9567,9837
Big,251,246
Big-Eyes,11148,11382
Cider-House-Rules-The,6052,6062
Anonymous,5878,6058
Being-There,7769,7424
Manhattan-Murder-Mystery,18349,17762
Saving-Private-Ryan,10143,10698
Wizard-of-Oz-The,7649,7083
Hebrew-Hammer-The,5180,5535
Halloween,1840,1881
Escape-From-LA,1793,1882
Into-the-Wild,5025,5211
Light-Sleeper,4970,4882
Life-of-Pi,4103,4202
Predator,1076,1086
Rambling-Rose,10240,10488
Machine-Gun-Preacher,6054,6137
Sling-Blade,7391,7780
Water-for-Elephants,14271,14944
Dead-Poets-Society,6831,7176
Cars-2,7855,8097
28-Days-Later,3349,3316
Dawn-of-the-Dead,274,266
Clerks,12207,12502
King-of-Comedy-The,10254,10453
Star-Wars-The-Force-Awakens,10320,10740
Labor-of-Love,6031,5794
Freaked,6266,6780
Jay-and-Silent-Bob-Strike-Back,8869,9282
Eight-Legged-Freaks,2173,2191
Terminator,4151,4184
Malibus-Most-Wanted,10029,10456
Wonder-Boys,9320,9481
Misery,5452,5498
Jaws-2,4432,4410
From-Dusk-Till-Dawn,7207,7433
Damned-United-The,8549,8919
Beauty-and-the-Beast,4932,5096
Butterfly-Effect-The,5658,5779
Mrs-Brown,4236,4384
Kung-Fu-Panda,4452,4450
Into-the-Woods,8387,8563
Lord-of-the-Rings-Fellowship-of-the-Ring-The,3705,3971
Cell-The,3363,3454
Devils-Advocate,10845,10814
Mask-The,6749,6894
Cold-Mountain,6194,6296
Logan,5135,5309
Insomnia,3251,3381
Antz,3059,2985
Charlies-Angels,3642,3743
Ali,8185,8320
Alien-3,7160,7102
Wall-Street,15143,15248
Prometheus,2969,3039
Super-8,6626,6366
Nightmare-on-Elm-Street-A,3521,3497
Scarface,4659,4906
Carrie,2368,2366
Wag-the-Dog,17264,16497
Sicario,5325,5245
Grand-Theft-Parsons,5724,5873
Dallas-Buyers-Club,6614,6997
Serial-Mom,3931,4076
Heathers,7823,8203
Avengers-The-(2012),6424,6723
Sunshine-Cleaning,4367,4407
Wild-Bunch-The,8467,8395
Public-Enemies,9150,9833
Assassins,4101,4159
Boondock-Saints-The,6982,7097
Shrek,6617,6766
Pineapple-Express,10573,10754
Hills-Have-Eyes-The,5727,5848
Pride-and-Prejudice,8726,9327
Ghost-Rider,8839,9145
Pet-Sematary,4657,4806
Absolute-Power,3399,3177
Man-Trouble,12338,12460
Talented-Mr-Ripley-The,6401,6570
Zero-Dark-Thirty,7697,8203
Prophecy-The,6307,6306
Timber-Falls,1961,1957
Synecdoche-New-York,11576,12075
Kids-Are-All-Right-The,4982,4966
Bamboozled,10225,10802
Black-Panther,8171,8420
Margot-at-the-Wedding,4176,4243
Best-Exotic-Marigold-Hotel-The,7862,8326
Man-On-Fire,6074,6344
Being-John-Malkovich,6278,6653
Bonfire-of-the-Vanities,12564,12815
Good-Girl-The,1754,1824
Lincoln,9364,9858
Four-Rooms,5537,5566
Shining-The,4874,4948
Clash-of-the-Titans,8234,8802
Hollow-Man,2850,2954
Star-Wars-A-New-Hope,8389,8605
Pretty-Woman-(final-script),12575,12615
Scream-2,2996,3112
Drop-Dead-Gorgeous,3875,4002
Star-Wars-The-Phantom-Menace,203,227
High-Fidelity,14961,15118
Drive-Angry,8825,9283
Roommate-The,8686,9107
We-Own-the-Night,7855,7801
Day-the-Earth-Stood-Still-The,4949,4791
Pi,4121,4231
Fatal-Instinct,6243,5988
Agnes-of-God,5786,5624
Amelia,15385,15793
Knocked-Up,14970,15385
Alien,126,72
Meet-Joe-Black,7701,7585
Grosse-Point-Blank,4954,4907
Basic,12298,12816
Chronicle,6674,6790
Moneyball,13818,14398
Lost-in-Translation,2719,2670
Wild-Things,4892,5007
Program-The,8147,8495
Wild-Things-Diamonds-in-the-Rough,3120,3064
Final-Destination,3522,3369
Batman,4793,4716
9,180,141
Ed-Wood,11057,11276
Two-For-The-Money,12047,12268
Ringu,2906,3016
Dog-Day-Afternoon,8782,8559
Fabulous-Baker-Boys-The,12426,12425
Hudson-Hawk,4893,5041
Change-Up-The,16107,16591
Hellboy-2-The-Golden-Army,9038,9489
Surfer-King-The,4219,4384
Nightmare-on-Elm-Street-The-Final-Chapter,3546,3586
Horrible-Bosses,8202,8449
Hancock,6606,6630
44-Inch-Chest,4835,4036
Armageddon,74,68
127-Hours,4257,4377
Smokin-Aces,4031,4093
Philadelphia,9981,10140
Spartan,6985,6275
Gone-Baby-Gone,8355,8578
Limey-The,5082,5181
Next-Three-Days-The,3888,3898
Godzilla,4191,4277
Under-Fire,5974,5956
Lord-of-the-Rings-The-Two-Towers,3323,3564
Ruins-The,15734,16922
Fugitive-The,3953,4051
Slumdog-Millionaire,7102,7673
Silver-Bullet,3263,3356
Virtuosity,3724,3821
Men-Who-Stare-at-Goats-The,11781,12158
American-History-X,5076,5331
Inventing-the-Abbotts,3630,3627
Martha-Marcy-May-Marlene,1625,1654
Social-Network-The,13556,14116
Iron-Lady-The,6646,6851
Dumb-and-Dumber,9244,9545
Analyze-That,14532,14870
Kalifornia,4954,4768
Three-Musketeers-The,8544,9263
Private-Life-of-Sherlock-Holmes-The,8183,8458
Youth-in-Revolt,12220,13127
Jeux-Interdits,4797,5019
Kings-Speech-The,8662,9234
Badlands,2865,2813
Joker,4236,4282
How-to-Train-Your-Dragon-2,4616,4890
Bonnie-and-Clyde,5864,5961
Bad-Dreams,7188,6974
Whiteout,3218,3283
Wrestler-The,5222,5363
Ex-Machina,3110,2974
Crash,941,960
Theory-of-Everything-The,3869,3884
Signs,4172,4166
Stuntman-The,12366,12217
Star-Trek-Generations,4360,4233
Fault-in-Our-Stars-The,13179,13563
Even-Cowgirls-Get-the-Blues,5324,5641
Invictus,4402,4456
Straight-Outta-Compton,10266,10634
Heist,8868,8150
Disturbia,3653,3501
Body-of-Evidence,6345,6376
Mean-Streets,7076,6877
White-Ribbon-The,2993,3175
Hellboy,3747,3686
Save-the-Last-Dance,6785,7015
Game-The,6924,6814
White-Squall,5783,5841
I-Still-Know-What-You-Did-Last-Summer,2914,2902
Nightmare-Before-Christmas-The,2254,2362
Detroit-Rock-City,5507,5669
Love-and-Basketball,6317,6424
Taking-of-Pelham-One-Two-Three-The,12020,11796
Gods-and-Monsters,9091,9345
2012,4984,5024
Collateral-Damage,2746,2604
This-Boys-Life,15629,15999
Foxcatcher,4899,4840
Hellraiser,1740,1673
Mulholland-Drive,3492,3282
Silver-Linings-Playbook,10997,11269
Big-Sick-The,8583,8766
Hot-Tub-Time-Machine,9575,9834
Date-Night,11397,11913
My-Best-Friends-Wedding,9411,9318
15-Minutes,6157,6272
Apt-Pupil,861,896
Deep-Rising,2838,2718
Lord-of-War,7070,7358
RocknRolla,5163,5265
AfterLife,9707,10278
Spare-Me,3621,3830
